firstName;lastName;SSN;gender;doctorId;infectionName
firstName10;lastName10;123456;FEMALE;1;Coronavirus
firstName11;lastName11;123457;FEMALE;2;Coronavirus
firstName12;lastName12;123458;FEMALE;3;Coronavirus
firstName13;lastName13;123459;FEMALE;4;Coronavirus
firstName14;lastName14;123460;FEMALE;5;Coronavirus
firstName15;lastName15;123461;FEMALE;1;Coronavirus
firstName16;lastName16;123462;FEMALE;2;Coronavirus
firstName17;lastName17;123463;FEMALE;3;Coronavirus
firstName18;lastName18;123464;FEMALE;4;Coronavirus
firstName19;lastName19;123465;FEMALE;5;Coronavirus
firstName20;lastName20;123466;FEMALE;1;Coronavirus
firstName21;lastName21;123467;FEMALE;2;Coronavirus
firstName22;lastName22;123468;FEMALE;3;Coronavirus
firstName23;lastName23;123469;FEMALE;4;Coronavirus
firstName24;lastName24;123470;FEMALE;5;Coronavirus
firstName25;lastName25;123471;FEMALE;1;Coronavirus
firstName26;lastName26;123472;MALE;2;Coronavirus
firstName27;lastName27;123473;MALE;3;Coronavirus
firstName28;lastName28;123474;MALE;4;Coronavirus
firstName29;lastName29;123475;MALE;5;Coronavirus
firstName30;lastName30;123476;MALE;1;Coronavirus
firstName31;lastName31;123477;MALE;2;Coronavirus
firstName32;lastName32;123478;MALE;3;Coronavirus
firstName33;lastName33;123479;MALE;4;Coronavirus
firstName34;lastName34;123480;MALE;5;Coronavirus
firstName35;lastName35;123481;MALE;1;Coronavirus
firstName36;lastName36;123482;MALE;2;Coronavirus
firstName37;lastName37;123483;MALE;3;Coronavirus
firstName38;lastName38;123484;MALE;4;Coronavirus
firstName39;lastName39;123485;MALE;5;Coronavirus
firstName40;lastName40;123486;MALE;1;Coronavirus
firstName41;lastName41;123487;MALE;2;Coronavirus
firstName42;lastName42;123488;MALE;3;Coronavirus
firstName43;lastName43;123489;MALE;4;Coronavirus
firstName44;lastName44;123490;MALE;5;Coronavirus
firstName45;lastName45;123491;MALE;1;Coronavirus
firstName46;lastName46;123492;MALE;2;Coronavirus
firstName47;lastName47;123493;MALE;3;Coronavirus
firstName48;lastName48;123494;MALE;4;Coronavirus
firstName49;lastName49;123495;MALE;5;Coronavirus
firstName50;lastName50;123496;MALE;1;Coronavirus
firstName51;lastName51;123497;FEMALE;2;Coronavirus
firstName52;lastName52;123498;FEMALE;3;Coronavirus
firstName53;lastName53;123499;FEMALE;4;Coronavirus
firstName54;lastName54;123500;FEMALE;5;Coronavirus
